age,sex,race_ethnicity,marital_status,education_level,income_level,occupation,place_of_residence,nationality,religion,language_spoken,household_size,credit_score,has_outstanding_loans,num_loans_taken_last_5yrs,loan_repayment_history_score,monthly_expenses,existing_monthly_liabilities,bank_account_access,internet_access,distance_to_nearest_bank_km,mobile_money_usage,success_score
18,Other,White,Divorced,Postgraduate,30000,Laborer,Urban,Bangladeshi,Muslim,English,8,452,0,5,0.33,13077,2660,0,0,19.6,0,0.348
39,Male,Latino,Divorced,Secondary,20000,Engineer,Semi-urban,Bangladeshi,Sikh,Bengali,1,586,0,5,0.6,19878,628,1,0,17.8,1,0.586
24,Other,Latino,Divorced,Primary,10000,Laborer,Semi-urban,Nepali,Hindu,Bengali,2,715,1,3,0.04,22600,972,1,1,16.0,0,0.706
63,Male,Mixed,Married,Graduate,20000,Farmer,Urban,Bangladeshi,Hindu,Tamil,8,617,1,4,0.29,10841,16661,0,1,19.4,0,0.351
51,Other,Mixed,Divorced,Primary,70000,Laborer,Rural,Nepali,Buddhist,Telugu,5,786,0,0,0.17,5986,14063,1,0,7.8,0,0.706
24,Other,Black,Single,Primary,30000,Teacher,Rural,Nepali,Buddhist,English,4,333,0,4,0.92,12862,12375,1,0,3.9,0,0.387
28,Female,Mixed,Widowed,Secondary,50000,Laborer,Rural,Bangladeshi,Buddhist,Hindi,3,542,1,0,0.28,15717,10743,1,0,22.4,0,0.504
52,Male,Black,Married,Graduate,20000,Self-employed,Rural,Indian,Hindu,Telugu,1,727,0,5,0.05,8362,3191,0,1,16.3,1,0.692
33,Female,Latino,Divorced,Postgraduate,20000,Engineer,Semi-urban,Nepali,Other,Hindi,2,559,1,5,0.28,6339,4335,0,0,24.7,0,0.412
31,Male,White,Married,None,50000,Teacher,Semi-urban,Nepali,Sikh,Bengali,3,549,0,1,0.1,21394,6392,1,1,21.2,1,0.61
42,Other,Asian,Widowed,Secondary,100000,Farmer,Semi-urban,Bangladeshi,Buddhist,Marathi,4,514,1,3,0.9,20338,1400,1,0,14.1,0,0.536
56,Male,Asian,Divorced,None,10000,Engineer,Semi-urban,Indian,Sikh,English,3,667,1,3,0.96,15357,19085,1,1,4.4,1,0.715
36,Female,Mixed,Single,Primary,100000,Laborer,Rural,Bangladeshi,Other,English,2,759,0,5,0.9,11699,5917,1,0,6.5,1,0.819
18,Other,Mixed,Single,Primary,20000,Farmer,Rural,Bangladeshi,Buddhist,Hindi,7,348,1,0,0.7,16753,16690,0,0,19.9,0,0.145
42,Female,White,Divorced,Secondary,30000,Engineer,Semi-urban,Nepali,Buddhist,English,2,533,0,0,0.08,23600,19965,1,1,21.0,1,0.493
58,Other,Asian,Single,Graduate,10000,Engineer,Rural,Indian,Other,Hindi,4,540,0,5,0.08,13014,9854,1,0,18.5,0,0.421
38,Other,Latino,Widowed,Postgraduate,10000,Laborer,Semi-urban,Nepali,Sikh,Tamil,6,772,1,4,0.55,3992,7349,1,0,23.4,0,0.836
45,Female,Latino,Widowed,None,50000,Teacher,Rural,Indian,Sikh,English,8,304,0,5,0.24,4326,10730,1,1,17.0,0,0.452
40,Female,White,Single,Secondary,70000,Teacher,Semi-urban,Indian,Muslim,English,5,849,0,1,0.82,12712,7558,0,0,21.8,1,0.709
64,Other,Latino,Divorced,Primary,30000,Laborer,Semi-urban,Indian,Other,English,5,684,0,5,0.13,4184,14031,0,1,1.1,1,0.547
61,Male,Latino,Widowed,Graduate,50000,Laborer,Semi-urban,Bangladeshi,Hindu,Telugu,7,541,1,2,0.76,22860,7730,0,0,17.9,1,0.446
64,Female,White,Married,Primary,50000,Laborer,Semi-urban,Nepali,Hindu,English,3,769,0,5,0.38,21780,1359,1,0,1.9,1,0.736
65,Male,Mixed,Divorced,Secondary,30000,Farmer,Urban,Bangladeshi,Hindu,Marathi,8,847,1,2,0.52,16815,6091,1,0,10.8,1,0.765
42,Male,Latino,Married,Primary,70000,Engineer,Rural,Indian,Hindu,Tamil,2,776,0,3,0.73,7959,13621,0,0,6.5,0,0.661
30,Female,Latino,Divorced,Primary,100000,Self-employed,Urban,Nepali,Sikh,Telugu,6,685,1,1,0.38,14285,12298,0,1,3.9,1,0.631
45,Female,Asian,Married,Secondary,70000,Farmer,Rural,Nepali,Buddhist,Hindi,1,367,1,1,0.91,14901,7481,0,1,9.6,1,0.484
60,Female,Latino,Divorced,Graduate,50000,Engineer,Urban,Nepali,Buddhist,Marathi,4,748,0,1,0.78,23668,12147,0,0,9.5,0,0.546
40,Other,Mixed,Single,Graduate,50000,Laborer,Urban,Nepali,Hindu,Marathi,8,668,1,2,0.25,5390,17206,1,1,17.1,0,0.783
45,Other,Latino,Divorced,Primary,70000,Engineer,Urban,Bangladeshi,Hindu,Tamil,7,457,1,3,0.22,4622,943,1,0,1.2,1,0.538
22,Female,Black,Divorced,Postgraduate,30000,Laborer,Urban,Indian,Other,Tamil,6,303,1,2,0.3,18385,9837,0,1,17.6,1,0.204
43,Female,White,Divorced,None,70000,Farmer,Rural,Bangladeshi,Hindu,Tamil,3,546,1,5,0.43,19695,10566,1,1,13.4,1,0.631
27,Other,White,Married,Postgraduate,20000,Self-employed,Urban,Nepali,Other,Telugu,2,300,1,0,0.26,23367,1203,0,1,22.7,1,0.312
27,Other,Black,Divorced,Graduate,70000,Teacher,Rural,Bangladeshi,Sikh,English,7,313,1,2,0.0,12769,8497,1,1,20.8,1,0.313
56,Other,Latino,Widowed,Secondary,70000,Laborer,Urban,Indian,Sikh,Telugu,3,492,1,0,0.83,21649,6474,0,1,11.6,0,0.481
50,Other,White,Divorced,Postgraduate,10000,Teacher,Rural,Nepali,Other,Telugu,6,412,0,4,0.27,21609,19464,0,1,8.8,1,0.163
58,Male,Latino,Married,Graduate,50000,Self-employed,Urban,Nepali,Christian,English,7,525,0,3,0.2,7575,4051,1,0,23.1,0,0.624
57,Male,Latino,Single,Graduate,20000,Self-employed,Urban,Bangladeshi,Christian,Bengali,6,324,1,1,0.41,14344,7407,1,0,16.4,1,0.237
18,Male,Latino,Divorced,Secondary,100000,Engineer,Rural,Nepali,Hindu,English,6,514,1,0,0.87,11293,2388,1,0,8.2,0,0.716
30,Female,Black,Married,None,10000,Engineer,Rural,Bangladeshi,Hindu,Tamil,2,688,1,4,0.51,16583,12386,1,1,2.6,1,0.753
21,Male,Mixed,Divorced,Secondary,10000,Laborer,Urban,Bangladeshi,Buddhist,Marathi,4,728,1,2,0.19,21960,5849,1,0,2.4,0,0.593
29,Female,Latino,Married,None,100000,Self-employed,Semi-urban,Indian,Hindu,Tamil,6,483,0,2,0.16,14430,9541,1,0,10.6,1,0.403
49,Other,Mixed,Widowed,Primary,10000,Farmer,Semi-urban,Indian,Buddhist,Telugu,5,777,1,3,0.69,23626,8970,0,0,19.3,0,0.547
43,Female,Asian,Single,Graduate,10000,Teacher,Rural,Nepali,Other,Hindi,6,690,1,1,0.13,24146,8029,1,1,4.2,1,0.69
27,Male,Mixed,Divorced,None,100000,Self-employed,Urban,Indian,Christian,Marathi,1,559,1,3,0.93,10647,10380,1,0,24.0,0,0.66
44,Male,Asian,Divorced,None,30000,Self-employed,Urban,Indian,Muslim,Marathi,1,317,1,0,0.24,7176,1008,1,0,22.9,0,0.407
43,Other,Black,Divorced,None,30000,Teacher,Semi-urban,Bangladeshi,Other,Tamil,4,319,0,2,0.25,18982,3760,0,0,7.3,1,0.093
36,Female,Latino,Divorced,Postgraduate,100000,Farmer,Rural,Nepali,Buddhist,Marathi,5,619,0,4,0.2,19524,2268,0,1,12.2,0,0.582
65,Female,White,Widowed,None,50000,Engineer,Semi-urban,Bangladeshi,Sikh,English,3,689,1,0,0.12,12616,15296,1,0,17.5,1,0.714
61,Female,Latino,Divorced,Secondary,100000,Self-employed,Semi-urban,Bangladeshi,Christian,Telugu,8,613,1,5,0.0,23790,15999,0,0,3.7,0,0.209
57,Other,Latino,Divorced,Graduate,10000,Laborer,Urban,Nepali,Sikh,Hindi,4,301,1,3,0.22,5001,11876,1,0,2.8,0,0.321
55,Other,White,Widowed,Secondary,30000,Self-employed,Rural,Nepali,Christian,Telugu,2,511,0,1,0.27,23422,1177,1,1,7.6,0,0.637
25,Male,White,Single,Postgraduate,10000,Laborer,Rural,Indian,Other,Telugu,3,598,1,5,0.68,19680,1494,0,0,1.0,1,0.394
44,Other,Mixed,Single,Primary,70000,Laborer,Semi-urban,Nepali,Buddhist,Bengali,1,663,0,1,0.22,5363,9860,1,1,10.5,0,0.839
63,Other,Asian,Divorced,Graduate,10000,Self-employed,Semi-urban,Nepali,Other,Bengali,8,315,0,3,0.92,5309,19328,1,0,7.1,1,0.346
36,Female,White,Married,Graduate,30000,Self-employed,Urban,Indian,Buddhist,Bengali,6,536,0,0,0.07,13234,5379,0,1,24.7,1,0.476
32,Other,Asian,Divorced,Secondary,30000,Laborer,Urban,Indian,Buddhist,English,7,370,1,5,0.26,15796,11418,1,1,13.9,0,0.397
50,Male,Asian,Single,Postgraduate,30000,Farmer,Urban,Indian,Buddhist,Tamil,2,533,0,2,0.59,23772,338,1,0,22.2,0,0.653
51,Female,Asian,Divorced,Secondary,100000,Self-employed,Urban,Nepali,Sikh,Bengali,2,668,0,1,0.46,20430,13027,0,1,3.7,1,0.642
37,Other,Mixed,Widowed,Graduate,20000,Self-employed,Semi-urban,Bangladeshi,Sikh,Bengali,2,536,0,1,0.74,9226,15293,1,1,10.1,1,0.704
46,Other,Mixed,Widowed,Postgraduate,20000,Teacher,Urban,Nepali,Christian,Tamil,7,303,1,0,0.37,11926,2391,1,0,3.0,0,0.387
24,Female,White,Widowed,Primary,100000,Teacher,Rural,Nepali,Sikh,Marathi,2,434,1,2,0.82,17011,7681,1,1,2.1,0,0.589
58,Male,Mixed,Married,None,30000,Laborer,Rural,Indian,Buddhist,Telugu,8,566,1,5,0.38,4502,5756,0,0,1.7,0,0.515
62,Female,White,Divorced,Secondary,20000,Teacher,Rural,Bangladeshi,Muslim,English,6,575,0,3,0.57,7375,16892,1,1,18.1,0,0.756
39,Female,White,Divorced,Postgraduate,70000,Engineer,Semi-urban,Bangladeshi,Christian,Hindi,7,319,1,5,0.98,9961,3882,1,0,7.3,1,0.519
22,Female,Mixed,Widowed,None,20000,Farmer,Urban,Nepali,Christian,English,4,331,1,4,0.0,15541,4683,1,0,6.0,1,0.234
27,Female,Mixed,Married,None,20000,Farmer,Semi-urban,Indian,Muslim,English,5,575,1,5,0.75,20825,14417,0,1,16.9,0,0.576
40,Other,Mixed,Single,Secondary,100000,Laborer,Urban,Bangladeshi,Buddhist,Marathi,7,541,0,2,0.28,20516,9302,0,1,7.1,0,0.483
30,Other,Mixed,Married,Secondary,70000,Engineer,Urban,Bangladeshi,Sikh,Tamil,4,405,0,1,0.22,5052,2633,1,0,15.7,1,0.419
42,Other,Mixed,Single,None,20000,Laborer,Semi-urban,Bangladeshi,Christian,Tamil,2,418,1,0,0.31,8196,3790,0,1,10.6,1,0.443
18,Male,Latino,Divorced,Graduate,100000,Farmer,Urban,Indian,Buddhist,English,3,473,1,4,0.57,24821,8535,1,1,19.8,0,0.498
48,Female,Latino,Widowed,Postgraduate,50000,Laborer,Urban,Bangladeshi,Other,English,3,635,1,1,0.74,15419,12576,0,0,24.2,1,0.464
28,Female,Asian,Divorced,None,100000,Farmer,Urban,Nepali,Christian,Telugu,8,562,1,0,0.39,14274,14381,0,0,4.8,1,0.352
62,Male,Black,Widowed,Secondary,50000,Engineer,Semi-urban,Bangladeshi,Other,Marathi,4,744,0,1,0.11,9508,1373,1,0,24.1,0,0.774
42,Other,Asian,Married,Graduate,10000,Engineer,Rural,Indian,Buddhist,Tamil,8,476,1,5,0.57,23818,17676,1,0,18.0,1,0.282
65,Female,Black,Married,Primary,20000,Laborer,Urban,Nepali,Sikh,Telugu,5,335,0,0,0.79,22077,1287,0,1,13.8,0,0.464
65,Other,Latino,Single,None,30000,Teacher,Rural,Nepali,Muslim,Tamil,1,708,1,4,0.82,24900,14113,0,1,24.4,0,0.552
23,Male,Asian,Single,Postgraduate,70000,Teacher,Urban,Nepali,Other,Telugu,8,597,0,4,0.09,4500,8161,0,0,5.4,0,0.341
37,Male,Asian,Married,Secondary,30000,Teacher,Urban,Indian,Hindu,Tamil,4,761,1,0,0.61,3484,7893,0,1,7.3,0,0.813
35,Male,White,Widowed,Secondary,70000,Self-employed,Rural,Indian,Sikh,English,2,593,0,4,0.7,4989,2142,0,0,5.1,1,0.589
19,Female,Black,Widowed,Secondary,20000,Teacher,Rural,Indian,Hindu,Tamil,1,650,0,5,0.43,12983,5543,1,0,21.1,1,0.625
37,Male,Asian,Single,Primary,50000,Self-employed,Semi-urban,Nepali,Hindu,Hindi,5,316,0,1,0.11,11266,10931,0,0,3.6,0,0.15
34,Female,Mixed,Married,Graduate,70000,Laborer,Rural,Indian,Buddhist,Bengali,8,483,0,3,0.59,18461,5657,0,0,9.4,0,0.354
24,Male,White,Divorced,Postgraduate,10000,Self-employed,Rural,Nepali,Buddhist,Hindi,8,770,0,1,0.71,20511,13227,0,1,21.9,0,0.675
19,Male,Latino,Married,Secondary,50000,Teacher,Semi-urban,Nepali,Muslim,Bengali,8,630,0,5,0.09,19970,11701,1,0,25.0,0,0.444
23,Male,White,Widowed,Secondary,100000,Self-employed,Rural,Bangladeshi,Muslim,English,2,683,0,0,0.39,3870,15951,0,0,13.8,0,0.628
36,Male,Black,Divorced,None,100000,Laborer,Urban,Indian,Muslim,Bengali,3,834,0,5,0.65,4383,3801,1,0,12.6,1,0.956
49,Female,Latino,Married,None,10000,Laborer,Urban,Nepali,Christian,Bengali,4,807,0,5,0.07,8390,2230,1,1,10.9,0,0.981
48,Other,Asian,Divorced,Primary,50000,Farmer,Rural,Indian,Other,Hindi,4,701,1,4,0.32,24538,2258,1,1,17.0,0,0.754
26,Other,Mixed,Married,Postgraduate,30000,Farmer,Urban,Bangladeshi,Buddhist,Tamil,6,735,1,4,0.14,13650,7551,0,1,19.2,1,0.733
37,Female,White,Divorced,Primary,100000,Farmer,Semi-urban,Indian,Hindu,English,8,346,0,3,0.1,9407,12619,1,0,7.1,1,0.41
38,Female,Asian,Married,None,50000,Farmer,Urban,Bangladeshi,Buddhist,Telugu,3,325,0,5,0.02,10458,19384,0,1,8.4,0,0.145
51,Male,Mixed,Divorced,Graduate,20000,Farmer,Semi-urban,Indian,Other,Bengali,2,771,1,3,0.57,16499,18576,0,1,22.1,1,0.65
45,Male,Latino,Divorced,Postgraduate,100000,Engineer,Semi-urban,Indian,Sikh,Bengali,4,400,0,5,0.79,18854,7721,1,0,14.8,0,0.444
52,Female,Mixed,Widowed,None,30000,Farmer,Semi-urban,Bangladeshi,Christian,Telugu,4,429,1,0,0.3,9482,2482,0,1,1.1,1,0.512
42,Female,White,Married,None,10000,Engineer,Rural,Bangladeshi,Sikh,Tamil,5,427,1,1,0.22,15554,19305,0,0,8.5,1,0.137
43,Other,Latino,Divorced,Graduate,10000,Engineer,Urban,Nepali,Muslim,Tamil,7,608,1,2,0.11,10560,4071,0,1,14.2,0,0.529
34,Male,Asian,Widowed,Postgraduate,20000,Farmer,Semi-urban,Nepali,Other,English,7,436,1,2,0.5,8213,10566,1,0,12.5,0,0.506
64,Female,Asian,Divorced,Secondary,50000,Engineer,Urban,Bangladeshi,Buddhist,Telugu,7,404,1,1,0.87,14175,10946,0,1,10.4,1,0.449
38,Other,Mixed,Divorced,Graduate,30000,Self-employed,Rural,Bangladeshi,Hindu,Hindi,7,359,1,1,0.45,20930,11657,1,1,6.4,0,0.508
19,Female,Latino,Single,Graduate,50000,Farmer,Rural,Bangladeshi,Other,Hindi,3,566,1,3,0.44,16795,19939,0,1,18.8,0,0.417
61,Male,Asian,Divorced,Primary,10000,Farmer,Rural,Bangladeshi,Christian,Telugu,1,813,1,5,0.92,15600,6366,1,0,8.7,1,0.826
36,Female,White,Married,Postgraduate,30000,Farmer,Semi-urban,Indian,Sikh,English,6,625,0,1,0.95,11378,13735,0,0,5.7,1,0.466
51,Other,White,Widowed,Postgraduate,100000,Farmer,Rural,Nepali,Sikh,Telugu,5,531,1,0,0.05,5296,1646,0,1,11.8,1,0.695
27,Other,Asian,Married,Primary,70000,Laborer,Rural,Bangladeshi,Muslim,Bengali,7,456,1,0,0.61,21160,2936,0,1,5.6,0,0.352
56,Other,Black,Single,Primary,10000,Laborer,Semi-urban,Indian,Other,Marathi,4,602,0,0,0.92,4562,11612,1,0,7.1,0,0.859
18,Female,Latino,Divorced,Primary,70000,Engineer,Urban,Nepali,Hindu,Hindi,4,424,0,0,0.56,19949,42,1,1,7.9,1,0.703
24,Other,Black,Divorced,Postgraduate,20000,Engineer,Rural,Bangladeshi,Muslim,Hindi,7,832,0,2,0.15,18483,2582,0,0,12.3,0,0.512
42,Other,Latino,Widowed,Postgraduate,50000,Self-employed,Urban,Indian,Buddhist,Tamil,6,442,1,5,0.28,14855,9872,1,1,24.2,0,0.496
58,Other,Asian,Widowed,Graduate,100000,Laborer,Urban,Indian,Other,English,5,410,0,5,0.52,8891,18859,1,0,6.0,1,0.356
35,Male,Asian,Divorced,None,30000,Self-employed,Semi-urban,Bangladeshi,Muslim,Marathi,7,481,1,3,0.48,3662,2488,0,1,14.3,0,0.636
46,Female,Asian,Widowed,None,20000,Engineer,Urban,Indian,Muslim,Telugu,6,715,1,1,0.5,17925,18806,1,1,23.6,0,0.686
49,Male,White,Single,None,100000,Teacher,Semi-urban,Nepali,Buddhist,Telugu,3,656,0,5,0.32,13294,18031,1,1,7.1,1,0.579
44,Other,Latino,Single,Postgraduate,10000,Teacher,Rural,Bangladeshi,Hindu,Bengali,3,487,0,3,0.1,8975,14857,0,0,8.1,1,0.246
64,Female,Mixed,Widowed,None,20000,Laborer,Urban,Nepali,Buddhist,Tamil,8,427,1,3,0.18,20639,12092,1,1,19.8,1,0.415
31,Male,Mixed,Widowed,None,70000,Farmer,Rural,Nepali,Hindu,Telugu,3,424,0,2,0.6,7729,19510,1,1,22.3,0,0.583
36,Female,Black,Married,None,100000,Farmer,Urban,Bangladeshi,Buddhist,Telugu,4,571,1,4,0.23,18534,9703,1,0,3.7,0,0.467
33,Male,Black,Widowed,Secondary,30000,Farmer,Rural,Bangladeshi,Buddhist,Marathi,1,631,0,0,0.75,15983,3898,0,1,21.0,0,0.749
39,Male,White,Divorced,Postgraduate,70000,Self-employed,Rural,Nepali,Sikh,Tamil,2,409,1,1,0.56,21230,1138,1,1,4.5,0,0.606
39,Other,Mixed,Single,Graduate,50000,Engineer,Semi-urban,Bangladeshi,Christian,Bengali,2,614,1,4,0.26,20301,13614,1,0,6.4,1,0.447
52,Female,Mixed,Widowed,Graduate,10000,Engineer,Urban,Indian,Hindu,Telugu,7,465,1,4,0.29,3167,15913,0,1,12.3,1,0.277
60,Other,Latino,Single,Primary,100000,Teacher,Rural,Bangladeshi,Buddhist,Tamil,1,621,1,1,0.4,10203,16606,1,0,19.9,1,0.511
65,Male,Black,Single,Primary,100000,Farmer,Rural,Bangladeshi,Other,Bengali,2,758,0,4,0.5,13613,4891,0,0,1.7,0,0.585
65,Other,White,Single,Primary,70000,Engineer,Semi-urban,Nepali,Sikh,Bengali,8,363,0,1,0.5,18486,7273,0,0,3.0,0,0.204
38,Other,Black,Married,Graduate,10000,Farmer,Semi-urban,Bangladeshi,Other,Bengali,3,542,1,0,0.51,21921,8585,0,0,1.4,0,0.339
50,Other,Mixed,Married,None,30000,Laborer,Semi-urban,Bangladeshi,Other,Bengali,4,767,1,0,0.81,9513,15658,0,0,11.8,0,0.675
18,Other,Black,Single,Primary,70000,Engineer,Rural,Indian,Muslim,Bengali,4,443,0,2,0.52,15868,6671,1,0,2.9,1,0.551
42,Female,Asian,Married,Graduate,50000,Teacher,Rural,Bangladeshi,Hindu,Tamil,4,797,1,1,0.46,6901,8304,0,0,21.2,0,0.646
42,Other,Latino,Married,Secondary,100000,Self-employed,Urban,Bangladeshi,Buddhist,Telugu,8,807,1,4,0.05,8404,1944,1,1,7.3,1,0.925
23,Female,Black,Widowed,Primary,100000,Engineer,Semi-urban,Bangladeshi,Hindu,Tamil,8,464,0,3,0.54,23444,10508,1,1,9.2,0,0.588
43,Male,Asian,Widowed,Secondary,10000,Teacher,Urban,Nepali,Other,Tamil,3,401,1,3,0.87,16793,7214,1,1,23.3,1,0.554
24,Other,White,Single,Primary,30000,Farmer,Semi-urban,Indian,Muslim,Marathi,4,411,0,0,0.02,9549,10126,0,1,2.8,1,0.417
44,Male,Black,Widowed,Graduate,70000,Laborer,Urban,Nepali,Sikh,Telugu,8,407,1,0,0.95,9523,10427,0,1,6.1,1,0.491
21,Other,Latino,Widowed,Primary,50000,Farmer,Urban,Indian,Christian,English,2,705,1,4,0.81,12644,11486,0,0,15.4,1,0.59
27,Male,Latino,Married,Primary,100000,Farmer,Rural,Nepali,Muslim,Hindi,8,737,0,5,0.92,4713,3320,1,0,11.3,1,0.929
41,Female,Mixed,Divorced,None,70000,Laborer,Urban,Bangladeshi,Buddhist,Bengali,3,673,1,0,0.07,8822,4919,1,0,14.3,1,0.643
65,Female,Mixed,Widowed,Graduate,10000,Engineer,Semi-urban,Indian,Christian,English,5,814,0,0,0.52,5895,3849,0,0,3.4,1,0.798
18,Other,Mixed,Single,None,20000,Teacher,Rural,Bangladeshi,Buddhist,Telugu,2,404,1,3,0.08,19381,19413,1,1,24.3,0,0.324
54,Male,Mixed,Divorced,Primary,50000,Farmer,Urban,Bangladeshi,Other,Bengali,1,507,1,1,0.69,4615,11869,1,0,10.0,1,0.605
47,Other,White,Married,None,10000,Self-employed,Rural,Bangladeshi,Christian,Tamil,8,427,0,3,0.08,14262,8600,1,1,14.4,1,0.518
33,Other,Asian,Divorced,None,70000,Teacher,Semi-urban,Nepali,Muslim,Tamil,1,422,1,5,0.37,24612,17660,0,1,15.6,0,0.161
49,Other,Asian,Divorced,Primary,70000,Farmer,Rural,Nepali,Muslim,Tamil,5,333,1,2,0.11,18702,8094,1,1,8.3,1,0.423
44,Male,Black,Divorced,Graduate,100000,Teacher,Semi-urban,Indian,Buddhist,Bengali,7,802,1,4,0.09,3636,8496,0,0,23.4,1,0.574
63,Other,Black,Married,Secondary,70000,Engineer,Urban,Nepali,Hindu,Bengali,5,332,0,5,0.75,15850,16806,1,0,6.0,0,0.274
30,Female,White,Widowed,Secondary,30000,Laborer,Semi-urban,Bangladeshi,Christian,English,6,546,1,1,0.89,23993,15562,0,1,23.0,1,0.536
43,Other,Latino,Divorced,Primary,100000,Teacher,Rural,Nepali,Sikh,Tamil,2,344,1,0,0.34,3386,17105,0,1,23.7,1,0.347
33,Female,Asian,Married,Secondary,30000,Self-employed,Urban,Nepali,Sikh,Tamil,1,652,0,1,0.87,4321,12367,0,0,2.5,1,0.652
63,Male,Latino,Divorced,Secondary,20000,Teacher,Urban,Nepali,Sikh,Telugu,8,321,0,5,0.1,8236,19010,0,1,22.9,0,0.123
59,Female,Mixed,Widowed,None,10000,Self-employed,Urban,Bangladeshi,Hindu,Telugu,8,428,0,0,0.86,12301,942,0,1,5.2,0,0.535
23,Other,Latino,Married,Primary,70000,Farmer,Urban,Indian,Hindu,Telugu,1,696,0,3,0.83,17345,9650,1,1,19.6,1,0.82
53,Male,Latino,Divorced,Postgraduate,20000,Engineer,Urban,Nepali,Hindu,Telugu,8,651,0,0,0.68,3615,2204,1,0,6.2,0,0.857
21,Other,Latino,Divorced,Postgraduate,100000,Engineer,Urban,Nepali,Sikh,Bengali,5,641,0,5,0.03,13106,10877,1,0,0.8,1,0.484
21,Other,Mixed,Single,None,20000,Laborer,Semi-urban,Bangladeshi,Christian,Tamil,6,659,0,3,0.94,17154,17653,1,0,21.4,1,0.68
32,Male,White,Married,None,30000,Teacher,Semi-urban,Indian,Sikh,English,8,653,1,2,0.83,8411,5843,0,0,23.5,1,0.738
59,Other,Asian,Divorced,Postgraduate,20000,Engineer,Urban,Nepali,Muslim,English,3,356,1,5,0.34,18456,11129,1,1,10.6,0,0.402
26,Male,Black,Divorced,Secondary,100000,Farmer,Semi-urban,Indian,Christian,Bengali,5,551,1,4,0.62,17375,7443,0,1,21.0,1,0.528
57,Male,Latino,Widowed,Graduate,70000,Self-employed,Semi-urban,Indian,Hindu,Telugu,1,442,1,2,0.2,4089,6424,0,0,12.6,1,0.314
33,Male,Latino,Single,Secondary,30000,Laborer,Rural,Bangladeshi,Hindu,Tamil,8,658,0,5,0.79,13878,6027,1,0,7.0,0,0.703
56,Male,Latino,Married,None,100000,Self-employed,Rural,Indian,Christian,Bengali,3,311,0,1,0.5,5772,14128,0,0,8.1,0,0.234
42,Other,Asian,Married,None,70000,Farmer,Semi-urban,Bangladeshi,Christian,Hindi,1,526,1,3,0.4,9300,12321,0,0,18.8,0,0.395
49,Male,Asian,Single,Primary,100000,Teacher,Semi-urban,Bangladeshi,Buddhist,Marathi,1,700,1,4,0.74,5725,6436,1,1,11.3,1,0.901
41,Other,Latino,Single,Primary,50000,Self-employed,Urban,Indian,Christian,Tamil,7,790,0,1,0.94,7387,11029,1,1,22.3,0,1.0
23,Other,Latino,Divorced,None,50000,Self-employed,Rural,Indian,Buddhist,English,5,744,0,4,0.16,14492,13444,0,1,13.3,1,0.605
39,Male,White,Married,Postgraduate,100000,Self-employed,Urban,Nepali,Hindu,English,3,378,0,3,0.1,21229,3977,1,0,8.7,0,0.361
20,Male,Mixed,Married,Graduate,50000,Engineer,Urban,Nepali,Hindu,Telugu,5,421,1,0,0.21,8430,17219,0,0,20.1,0,0.294
43,Male,Mixed,Single,None,30000,Farmer,Urban,Bangladeshi,Christian,Hindi,5,708,0,5,0.03,18708,9699,1,1,6.6,0,0.638
19,Male,Black,Divorced,Primary,100000,Engineer,Rural,Nepali,Buddhist,Marathi,4,772,0,4,0.19,15284,17679,1,1,20.2,1,0.791
